date,store_id,total_stock,average_price,dayofweek,quarter,month,year,dayofyear,dayofmonth,weekofyear,total_revenue_lag_7,rolling_mean_7,rolling_median_7,rolling_min_7,rolling_max_7,rolling_std_7
2019-10-21,54,5600.0,14.522371134020627,0,4,10,2019,294,21,43,1005.6800000000001,1049.4,1143.49,404.02,1491.7300000000002,433.8566376120103
2019-10-21,74,4183.0,14.25709443099274,0,4,10,2019,294,21,43,1400.4900000000002,1080.547142857143,1143.49,404.02,1618.52,469.6154218689395
2019-10-21,27,10899.0,14.24106432748539,0,4,10,2019,294,21,43,500.19000000000005,1193.8285714285714,1293.1599999999999,404.02,1618.52,396.18869790494807
2019-10-21,35,9076.0,14.81134210526317,0,4,10,2019,294,21,43,404.02,1315.6971428571428,1293.1599999999999,1068.1799999999998,1618.52,190.6283291918472
2019-10-21,44,3516.0,11.50474789915966,0,4,10,2019,294,21,43,1337.7,1175.3585714285714,1257.1000000000001,355.33,1618.52,408.65459748743586
2019-10-21,29,5330.0,13.75294264339153,0,4,10,2019,294,21,43,1491.7300000000002,1096.1242857142859,1143.49,355.33,1618.52,390.4540108154915
2019-10-21,125,12995.0,17.82089825119233,0,4,10,2019,294,21,43,1068.1799999999998,1163.282857142857,1257.1000000000001,355.33,1618.52,423.8481896353245
2019-10-21,93,9797.0,17.95950484391819,0,4,10,2019,294,21,43,1143.49,1102.6057142857142,1257.1000000000001,355.33,1618.52,456.31301781624705
2019-10-21,121,6136.0,13.298346666666669,0,4,10,2019,294,21,43,1618.52,988.6757142857142,937.09,355.33,1538.29,402.4089344542074
2019-10-21,34,5093.0,13.633413978494627,0,4,10,2019,294,21,43,1293.1599999999999,888.5371428571428,821.0100000000001,355.33,1538.29,401.2259982733863
2019-10-21,98,6575.0,12.528526570048312,0,4,10,2019,294,21,43,1257.1000000000001,866.35,821.0100000000001,355.33,1538.29,381.24491830492974
2019-10-21,144,10815.0,18.455114754098357,0,4,10,2019,294,21,43,355.33,912.9528571428572,821.0100000000001,592.19,1538.29,324.009501389196
2019-10-21,84,9354.0,16.816472564389702,0,4,10,2019,294,21,43,937.09,1108.1257142857144,821.0100000000001,592.19,2303.3,618.563983320969
2019-10-21,103,9323.0,16.76202054794521,0,4,10,2019,294,21,43,1538.29,1094.3342857142857,821.0100000000001,592.19,2303.3,608.3667802090314
2019-10-21,111,4741.0,15.658398058252434,0,4,10,2019,294,21,43,718.75,1111.6014285714286,839.6199999999999,592.19,2303.3,597.5491008675507
2019-10-28,144,7584.0,18.55818574514038,0,4,10,2019,301,28,44,821.0100000000001,1057.3485714285714,839.6199999999999,441.24,2303.3,643.7814104551469
2019-10-28,93,6999.0,17.93898520084566,0,4,10,2019,301,28,44,592.19,1060.7342857142858,839.6199999999999,441.24,2303.3,640.9836138014014
2019-10-28,111,3342.0,15.79860849056605,0,4,10,2019,301,28,44,1101.79,981.3742857142859,681.55,441.24,2303.3,668.8375265303506
2019-10-28,103,6332.0,16.70476351351352,0,4,10,2019,301,28,44,681.55,1020.8014285714287,839.6199999999999,441.24,2303.3,656.2334182140922
2019-10-28,81,3950.0,15.608181818181828,0,4,10,2019,301,28,44,2303.3,754.6400000000001,615.89,440.1700000000001,1441.7500000000002,360.62231461738406
2019-10-28,138,16148.0,19.273395818312846,0,4,10,2019,301,28,44,1441.7500000000002,863.1828571428572,615.89,440.1700000000001,2201.55,621.7245177652845
2019-10-28,74,2960.0,14.408164251207737,0,4,10,2019,301,28,44,839.6199999999999,927.2300000000001,615.89,440.1700000000001,2201.55,641.6652707084378
2019-10-28,98,4271.0,12.625637254901966,0,4,10,2019,301,28,44,441.24,970.4700000000001,743.9199999999998,440.1700000000001,2201.55,613.0163552195536
2019-10-28,128,3328.0,15.494048192771094,0,4,10,2019,301,28,44,615.89,1006.5900000000001,868.73,440.1700000000001,2201.55,595.8503420882344
2019-10-28,121,4443.0,13.6503494623656,0,4,10,2019,301,28,44,546.27,1029.2585714285715,868.73,440.1700000000001,2201.55,578.1754231035349
2019-10-28,54,3790.0,14.825208333333341,0,4,10,2019,301,28,44,957.5400000000001,991.2585714285715,743.9199999999998,440.1700000000001,2201.55,592.2447691179874
2019-10-28,137,5960.0,17.16686936936937,0,4,10,2019,301,28,44,440.1700000000001,1040.9585714285715,788.0700000000002,691.54,2201.55,551.485803879802
2019-10-28,35,6084.0,14.907994652406428,0,4,10,2019,301,28,44,2201.55,863.2628571428571,788.0700000000002,691.54,1287.95,209.66323773409138
2019-10-28,140,4593.0,13.33088019559903,0,4,10,2019,301,28,44,1287.95,732.8571428571429,743.9199999999998,375.11000000000007,957.6799999999998,183.77818602092648
2019-10-28,29,3715.0,14.130608272506093,0,4,10,2019,301,28,44,743.9199999999998,741.5857142857143,788.0700000000002,375.11000000000007,957.6799999999998,185.83070493122898
2019-10-28,125,9296.0,18.137039370078696,0,4,10,2019,301,28,44,868.73,785.8228571428572,788.0700000000002,375.11000000000007,1178.39,247.70013670526885
2019-10-28,44,2899.0,11.4944537815126,0,4,10,2019,301,28,44,704.95,717.7414285714285,788.0700000000002,228.38,1178.39,326.57023233543265
2019-10-28,27,7282.0,14.442776470588244,0,4,10,2019,301,28,44,691.54,740.6157142857144,805.02,228.38,1178.39,330.01862022503747
2019-10-28,84,6450.0,16.907058823529415,0,4,10,2019,301,28,44,788.0700000000002,832.1614285714287,851.6600000000001,228.38,1428.89,421.5603943852945
2019-10-28,34,3645.0,13.98808625336928,0,4,10,2019,301,28,44,957.6799999999998,742.9685714285715,805.02,228.38,1428.89,455.27817845900745
2019-10-28,4,5789.0,17.854281045751637,0,4,10,2019,301,28,44,375.11000000000007,903.9228571428573,851.6600000000001,228.38,1501.79,500.4690093540346
2017-01-02,21,5194.0,5.208823529411767,0,1,1,2017,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-02,6,4063.0,4.13883495145631,0,1,1,2017,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0
